"Bucks_labWht","Burlington_labWht","Camden_labWht","Chester_labWht","Delaware_labWht","Gloucester_labWht","Mercer_labWht","Montgomery_labWht","NJ Suburban Counties_labWht","PA Suburban Counties_labWht","Philadelphia_labWht","Region_labWht","year","Bucks_labNonWht","Burlington_labNonWht","Camden_labNonWht","Chester_labNonWht","Delaware_labNonWht","Gloucester_labNonWht","Mercer_labNonWht","Montgomery_labNonWht","NJ Suburban Counties_labNonWht","PA Suburban Counties_labNonWht","Philadelphia_labNonWht","Region_labNonWht","Bucks_difference","Burlington_difference","Camden_difference","Chester_difference","Delaware_difference","Gloucester_difference","Mercer_difference","Montgomery_difference","NJ Suburban Counties_difference","PA Suburban Counties_difference","Philadelphia_difference","Region_difference"
67.8,70.3,67.8,69.2,67,69.3,66.8,69.9,68.6,68.6,59.8,67.2,2005,NA,68.6,68.9,NA,67.5,NA,72.9,65.5,69.8,66.7,57.8,61.6,NA,1.7,-1.1,NA,-0.5,NA,-6.1,4.4,-1.2,1.9,2,5.6
68.6,67.8,67.6,69.2,63.9,69.2,65.4,68.4,67.5,67.7,58.9,66.2,2006,68.2,65.1,66.1,58.4,62.7,61.4,61.3,66.7,64.2,64.2,57.1,60.3,0.4,2.7,1.5,10.8,1.2,7.8,4.1,1.7,3.3,3.5,1.8,5.9
67.6,68.9,66.8,70,63.8,69.9,65.3,69.8,67.7,68,60.2,66.6,2007,64.1,66.1,64.8,56.4,62.8,58.5,66.5,71.5,65,65.4,57.9,61.3,3.5,2.8,2,13.6,1,11.4,-1.2,-1.7,2.7,2.6,2.3,5.4
69.3,70.2,68.3,69.5,65.7,70.8,66.8,68.7,69,68.4,60.5,67.3,2008,74.9,67.5,69.1,67,71.7,67.8,66.1,66.4,67.8,69.2,57.2,62.3,-5.6,2.7,-0.8,2.5,-6,3,0.7,2.3,1.2,-0.8,3.3,5
69.4,69.6,68.9,70.8,65.4,71,68.3,69.6,69.4,68.9,63,68,2009,68.8,67.4,68.8,66.2,65.9,70.8,69.8,67.1,68.9,66.8,57.5,62.2,0.6,2.2,0.1,4.6,-0.5,0.2,-1.5,2.5,0.5,2.2,5.5,5.8
70.3,68.3,68,69.8,66,69.9,67,69.4,68.3,69,60.5,67.3,2010,67.6,67.1,68.5,63.1,66.5,65.8,66.6,69.7,67.5,67.3,55.6,61.1,2.7,1.2,-0.5,6.7,-0.5,4.1,0.4,-0.3,0.8,1.8,4.9,6.2
68.4,68.6,66.9,68.2,64.6,68.1,66.2,68.6,67.5,67.7,61.4,66.5,2011,64.4,69.6,66.7,64.3,65,68.5,65.7,68.5,67.3,66.2,55.7,60.9,4,-1,0.2,3.9,-0.4,-0.4,0.5,0.1,0.2,1.5,5.7,5.6
67.5,66.6,67,69.9,65.1,68.5,66.2,68.6,67,67.9,62.4,66.7,2012,74.1,64.5,64.5,67.2,63.8,61.2,65.5,67.3,64.6,66.8,56.3,60.6,-6.6,2.1,2.5,2.7,1.3,7.3,0.7,1.3,2.4,1.1,6.1,6.1
68.3,68.2,65.8,69.4,65.4,66.5,66.2,68.7,66.7,68.1,62,66.6,2013,69.1,65.6,66.3,70.2,66,64.5,65.9,66.4,65.9,67.1,57.9,62.1,-0.8,2.6,-0.5,-0.8,-0.6,2,0.3,2.3,0.8,1,4.1,4.6
67.9,67.4,66.6,68.8,64.6,68.3,65.8,68.8,67,67.7,62.2,66.5,2014,70.5,66.1,66.3,66.1,62.5,66.3,63.9,68,65.7,66,57.8,61.7,-2.6,1.3,0.3,2.7,2.1,2,1.9,0.8,1.4,1.7,4.4,4.9
67,67.7,66.8,68.2,65.1,66,65.2,67.9,66.5,67.2,63.7,66.4,2015,71.2,63.6,64.8,69.8,65.8,62.8,64,65,64.1,66.8,58.1,61.6,-4.2,4.1,2,-1.6,-0.7,3.2,1.2,2.9,2.4,0.4,5.6,4.8
65.7,66.3,67.8,68.5,64.4,68.2,65.2,67.4,66.9,66.6,62.7,66,2016,68.2,65.4,64.6,68,65.4,71.5,61.6,67.6,64.4,66.9,57.5,61.4,-2.5,0.9,3.2,0.5,-1,-3.3,3.6,-0.2,2.5,-0.3,5.2,4.6
67.3,65.2,67.7,68.8,65.3,67.4,63.8,68.2,66.1,67.5,58,65.4,2017,72.4,66.1,63.4,69.3,65.5,65.6,64.7,69.7,64.7,68.5,58.5,62.4,-5.1,-0.9,4.3,-0.5,-0.2,1.8,-0.9,-1.5,1.4,-1,-0.5,3
