"year","geography","minorityInc","whtNonHispInc","difference"
2000,"Burlington",77243,86664,9420
2000,"Camden",52966,76637,23671
2000,"Gloucester",63695,80061,16366
2000,"Mercer",64737,92518,27780
2000,"Bucks",69701,87403,17702
2000,"Chester",66505,97779,31274
2000,"Delaware",51166,76171,25005
2000,"Montgomery",73531,89245,15714
2000,"Philadelphia",37051,53334,16283
2005,"Burlington",74409,91283,16874
2005,"Camden",50024,77919,27895
2005,"Gloucester",60381,85330,24949
2005,"Mercer",70494,95498,25004
2005,"Bucks",70607,84685,14079
2005,"Chester",81001,95543,14542
2005,"Delaware",44928,80286,35358
2005,"Montgomery",73085,90472,17386
2005,"Philadelphia",33303,55560,22257
2006,"Burlington",69869,87935,18066
2006,"Camden",54402,78152,23750
2006,"Gloucester",64551,82274,17722
2006,"Mercer",69120,90817,21697
2006,"Bucks",66330,89020,22690
2006,"Chester",69049,97946,28897
2006,"Delaware",52478,73917,21439
2006,"Montgomery",72071,89918,17847
2006,"Philadelphia",33699,53368,19669
2007,"Burlington",73370,92456,19086
2007,"Camden",52491,81528,29037
2007,"Gloucester",89312,86437,-2874
2007,"Mercer",74265,96367,22102
2007,"Bucks",80724,86129,5405
2007,"Chester",80366,101975,21608
2007,"Delaware",53347,79220,25873
2007,"Montgomery",72337,92838,20501
2007,"Philadelphia",35884,56256,20373
2008,"Burlington",79176,93195,14019
2008,"Camden",53317,80704,27387
2008,"Gloucester",62678,85004,22326
2008,"Mercer",72000,102792,30793
2008,"Bucks",81446,90302,8856
2008,"Chester",84756,102317,17562
2008,"Delaware",51873,82841,30968
2008,"Montgomery",74454,93487,19034
2008,"Philadelphia",34728,56963,22234
2009,"Burlington",76129,89448,13319
2009,"Camden",56106,80708,24603
2009,"Gloucester",66993,83587,16594
2009,"Mercer",75484,95764,20280
2009,"Bucks",81941,88817,6875
2009,"Chester",77823,97469,19646
2009,"Delaware",49281,79757,30476
2009,"Montgomery",80892,87511,6619
2009,"Philadelphia",34398,55923,21526
2010,"Burlington",79691,85531,5840
2010,"Camden",53071,73962,20891
2010,"Gloucester",53517,80813,27296
2010,"Mercer",75493,92344,16851
2010,"Bucks",73789,81020,7232
2010,"Chester",79920,97494,17574
2010,"Delaware",52418,74047,21629
2010,"Montgomery",74503,87775,13272
2010,"Philadelphia",31338,51358,20020
2011,"Burlington",74038,84349,10311
2011,"Camden",45638,77389,31752
2011,"Gloucester",71981,83340,11359
2011,"Mercer",68781,96905,28124
2011,"Bucks",82310,79039,-3271
2011,"Chester",81151,90756,9606
2011,"Delaware",51730,75027,23298
2011,"Montgomery",75027,88157,13130
2011,"Philadelphia",30948,51530,20582
2012,"Burlington",73807,84778,10971
2012,"Camden",48245,74145,25901
2012,"Gloucester",69240,82275,13034
2012,"Mercer",64037,92210,28173
2012,"Bucks",82449,82136,-313
2012,"Chester",87629,92697,5068
2012,"Delaware",45622,75289,29666
2012,"Montgomery",70833,85765,14932
2012,"Philadelphia",30459,53979,23520
2013,"Burlington",80224,83227,3004
2013,"Camden",46678,73605,26927
2013,"Gloucester",74841,77871,3030
2013,"Mercer",64341,88042,23702
2013,"Bucks",73291,79753,6461
2013,"Chester",88134,91596,3462
2013,"Delaware",45862,77706,31844
2013,"Montgomery",68536,84876,16339
2013,"Philadelphia",32190,54215,22025
2014,"Burlington",80544,85447,4903
2014,"Camden",47824,75507,27683
2014,"Gloucester",71563,85975,14412
2014,"Mercer",74947,97153,22206
2014,"Bucks",76681,83350,6669
2014,"Chester",97476,93096,-4380
2014,"Delaware",48962,76179,27217
2014,"Montgomery",71188,85936,14748
2014,"Philadelphia",32947,56498,23551
2015,"Burlington",64316,84031,19715
2015,"Camden",52350,79646,27296
2015,"Gloucester",65943,85047,19104
2015,"Mercer",78603,94499,15896
2015,"Bucks",85237,85638,401
2015,"Chester",83308,96960,13652
2015,"Delaware",50432,84649,34217
2015,"Montgomery",69920,89973,20053
2015,"Philadelphia",33888,62720,28832
2016,"Burlington",74488,84876,10389
2016,"Camden",48492,80553,32061
2016,"Gloucester",67413,84060,16647
2016,"Mercer",78670,93677,15007
2016,"Bucks",73460,84128,10668
2016,"Chester",83201,98816,15615
2016,"Delaware",47684,81757,34073
2016,"Montgomery",73137,90323,17186
2016,"Philadelphia",34788,60278,25490
2017,"Burlington",81297,91760,10463
2017,"Camden",54725,80731,26006
2017,"Gloucester",60738,91073,30335
2017,"Mercer",81893,96639,14746
2017,"Bucks",86601,88082,1481
2017,"Chester",97360,99800,2440
2017,"Delaware",53549,84862,31313
2017,"Montgomery",76502,91884,15382
2017,"Philadelphia",36456,50933,14477
2000,"PA Suburban Counties",63619,87443,23824
2005,"PA Suburban Counties",62855,87815,24960
2006,"PA Suburban Counties",63394,88023,24629
2007,"PA Suburban Counties",68085,90091,22006
2008,"PA Suburban Counties",68313,92272,23959
2009,"PA Suburban Counties",68433,88351,19918
2010,"PA Suburban Counties",66899,85179,18280
2011,"PA Suburban Counties",68365,83583,15218
2012,"PA Suburban Counties",65659,84139,18480
2013,"PA Suburban Counties",63463,83472,20009
2014,"PA Suburban Counties",67913,84819,16906
2015,"PA Suburban Counties",67181,89227,22046
2016,"PA Suburban Counties",65617,88773,23156
2017,"PA Suburban Counties",72486,91169,18683
2000,"NJ Suburban Counties",63017,83481,20465
2005,"NJ Suburban Counties",62335,86792,24457
2006,"NJ Suburban Counties",63211,84387,21177
2007,"NJ Suburban Counties",66657,88687,22031
2008,"NJ Suburban Counties",65410,89562,24152
2009,"NJ Suburban Counties",67078,86788,19710
2010,"NJ Suburban Counties",65671,82403,16732
2011,"NJ Suburban Counties",61369,84456,23087
2012,"NJ Suburban Counties",60725,82528,21804
2013,"NJ Suburban Counties",62346,80151,17805
2014,"NJ Suburban Counties",65334,84879,19546
2015,"NJ Suburban Counties",63293,84941,21649
2016,"NJ Suburban Counties",64722,85065,20343
2017,"NJ Suburban Counties",69686,89336,19651
2000,"Region",48184,79696,31512
2005,"Region",46962,82626,35664
2006,"Region",47870,81658,33788
2007,"Region",51273,84448,33175
2008,"Region",50139,86041,35901
2009,"Region",50190,82556,32365
2010,"Region",48373,79075,30702
2011,"Region",47570,78793,31223
2012,"Region",46635,78928,32292
2013,"Region",47712,77901,30190
2014,"Region",50237,80389,30153
2015,"Region",49849,83839,33990
2016,"Region",50148,83282,33134
2017,"Region",54233,84352,30118
